INFO 2014-03-20 14:28:08,930 crawler 949 140735266841360 link <a href="bson/index.html" title="next chapter"><tt class="docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal docutils literal"><span class="pre">bson</span></tt> – BSON (Binary JSON) Encoding and Decoding</a>
INFO 2014-03-20 14:28:08,931 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/index.html
INFO 2014-03-20 14:28:08,943 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,950 crawler 949 140735266841360 link <a href="../_sources/api/index.txt" rel="nofollow">Show Source</a>
INFO 2014-03-20 14:28:08,951 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/_sources/api/index.txt
INFO 2014-03-20 14:28:08,953 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/_sources/api/index.txt to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,960 crawler 949 140735266841360 link <a href="../genindex.html" title="General Index">index</a>
INFO 2014-03-20 14:28:08,961 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/genindex.html
INFO 2014-03-20 14:28:08,964 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/genindex.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,971 crawler 949 140735266841360 link <a href="../py-modindex.html" title="Python Module Index">modules</a>
INFO 2014-03-20 14:28:08,972 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/py-modindex.html
INFO 2014-03-20 14:28:08,976 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/py-modindex.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,989 crawler 949 140735266841360 link <a href="bson/index.html" title="bson – BSON (Binary JSON) Encoding and Decoding">next</a>
INFO 2014-03-20 14:28:08,990 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/index.html
INFO 2014-03-20 14:28:08,994 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:09,003 crawler 949 140735266841360 link <a href="../faq.html" title="Frequently Asked Questions">previous</a>
INFO 2014-03-20 14:28:09,004 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/faq.html
INFO 2014-03-20 14:28:09,007 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/faq.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:09,015 crawler 949 140735266841360 link <a href="../index.html">PyMongo 2.7rc0 documentation</a>
INFO 2014-03-20 14:28:09,016 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/index.html
INFO 2014-03-20 14:28:09,028 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:09,035 crawler 949 140735266841360 link <a href="http://sphinx.pocoo.org/">Sphinx</a>
INFO 2014-03-20 14:28:09,036 crawler 949 140735266841360 href http://sphinx.pocoo.org/
INFO 2014-03-20 14:28:09,038 crawler 949 140735266841360 add link http://sphinx.pocoo.org/ to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:09,045 crawler 949 140735266841360 crawling page http://bsonspec.org
INFO 2014-03-20 14:28:11,579 crawler 949 140735266841360 indexing http://bsonspec.org
INFO 2014-03-20 14:28:14,302 crawler 949 140735266841360 link <a href="#/">BSON</a>
INFO 2014-03-20 14:28:14,302 crawler 949 140735266841360 href http://bsonspec.org#/
INFO 2014-03-20 14:28:14,307 crawler 949 140735266841360 add link http://bsonspec.org to url http://bsonspec.org
INFO 2014-03-20 14:28:14,314 crawler 949 140735266841360 link <a class="nojs" name="/"></a>
INFO 2014-03-20 14:28:14,315 crawler 949 140735266841360 link <a href="http://json.org"><abbr title="JavaScript Object Notation">JSON</abbr></a>
INFO 2014-03-20 14:28:14,316 crawler 949 140735266841360 href http://json.org
INFO 2014-03-20 14:28:14,318 crawler 949 140735266841360 add link http://json.org to url http://bsonspec.org
INFO 2014-03-20 14:28:14,324 crawler 949 140735266841360 link <a href="http://code.google.com/p/protobuf/">Proto­col Buf­fers</a>
INFO 2014-03-20 14:28:14,325 crawler 949 140735266841360 href http://code.google.com/p/protobuf/
INFO 2014-03-20 14:28:14,327 crawler 949 140735266841360 add link http://code.google.com/p/protobuf/ to url http://bsonspec.org
